2026-04-12 01:33:49,922 | INFO     | explorer.server | UI static files served from: C:\Users\rylan\Documents\Github\opentelemetry-demo\src\react-native-explorer\ui
2026-04-12 01:33:49,925 | INFO     | explorer.server | API server running at http://127.0.0.1:5100
2026-04-12 01:33:50,083 | INFO     | explorer.mcp | MCP: Starting connection...
2026-04-12 01:33:50,471 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:33:50 +0200] "GET / HTTP/1.1" 200 341 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:33:52,203 | INFO     | explorer.server | 📡 WebSocket client connected (1 total)
2026-04-12 01:33:52,248 | INFO     | explorer.server | 📡 WebSocket client connected (2 total)
2026-04-12 01:33:53,894 | INFO     | explorer.server | 📡 WebSocket client disconnected (1 remaining)
2026-04-12 01:33:53,901 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:33:52 +0200] "GET /ws/live HTTP/1.1" 101 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:33:53,946 | INFO     | explorer.server | 📡 WebSocket client connected (2 total)
2026-04-12 01:33:53,954 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:33:53 +0200] "GET /api/status HTTP/1.1" 200 369 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:33:53,962 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:33:53 +0200] "GET /api/screens HTTP/1.1" 200 179 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:33:53,968 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:33:53 +0200] "GET /api/stories HTTP/1.1" 200 179 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:33:53,978 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:33:53 +0200] "GET /api/graph HTTP/1.1" 200 320 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:33:53,984 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:33:53 +0200] "GET /api/screens HTTP/1.1" 200 179 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:33:56,644 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:33:56 +0200] "POST /api/agent/start HTTP/1.1" 200 389 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:33:57,137 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:33:57 +0200] "GET /api/graph HTTP/1.1" 200 320 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:33:57,847 | INFO     | explorer.mcp | MCP: Tools discovered: mobile_press_button, mobile_double_tap_on_screen, mobile_list_apps, mobile_list_available_devices, mobile_click_on_screen_at_coordinates, mobile_terminate_app, mobile_take_screenshot, mobile_open_url, mobile_install_app, mobile_save_screenshot, mobile_start_screen_recording, mobile_uninstall_app, mobile_list_elements_on_screen, mobile_get_orientation, mobile_set_orientation, mobile_type_keys, mobile_swipe_on_screen, mobile_long_press_on_screen_at_coordinates, mobile_stop_screen_recording, mobile_launch_app, mobile_get_screen_size
2026-04-12 01:33:58,445 | INFO     | explorer.mcp | 📱 Using device: emulator-5554
2026-04-12 01:34:00,375 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:33:59 +0200] "GET /api/live-screenshot HTTP/1.1" 200 191249 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:03,947 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:03 +0200] "GET /api/graph HTTP/1.1" 200 320 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:05,564 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:02 +0200] "GET /api/live-screenshot HTTP/1.1" 200 191729 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:05,570 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:03 +0200] "GET /api/live-screenshot HTTP/1.1" 200 191729 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:06,331 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:05 +0200] "GET /api/live-screenshot HTTP/1.1" 200 191729 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:07,072 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-12 01:34:07,139 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:07 +0200] "GET /api/graph HTTP/1.1" 200 320 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:07,626 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:06 +0200] "GET /api/live-screenshot HTTP/1.1" 200 191729 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:09,379 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:08 +0200] "GET /api/live-screenshot HTTP/1.1" 200 191729 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:10,627 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:09 +0200] "GET /api/live-screenshot HTTP/1.1" 200 191729 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:12,345 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:11 +0200] "GET /api/live-screenshot HTTP/1.1" 200 191729 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:13,115 | INFO     | explorer.vision | [ai]🔍 Analyzed screen: Product List[/ai] (14 elements)
2026-04-12 01:34:13,298 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:13 +0200] "GET /api/graph HTTP/1.1" 200 5362 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:13,304 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:13 +0200] "GET /api/graph HTTP/1.1" 200 5362 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:13,556 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:12 +0200] "GET /api/live-screenshot HTTP/1.1" 200 191729 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:13,947 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:13 +0200] "GET /api/graph HTTP/1.1" 200 5670 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:15,611 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:14 +0200] "GET /api/live-screenshot HTTP/1.1" 200 201833 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:17,066 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:15 +0200] "GET /api/live-screenshot HTTP/1.1" 200 201833 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:17,138 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:17 +0200] "GET /api/graph HTTP/1.1" 200 5670 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:18,565 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:17 +0200] "GET /api/live-screenshot HTTP/1.1" 200 201833 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:19,717 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:18 +0200] "GET /api/live-screenshot HTTP/1.1" 200 219317 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:21,407 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:20 +0200] "GET /api/live-screenshot HTTP/1.1" 200 218309 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:22,814 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:22 +0200] "GET /api/screens HTTP/1.1" 200 819 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:22,833 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:22 +0200] "GET /api/screenshots/20260412_013413_117717.png HTTP/1.1" 200 260 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:22,922 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:21 +0200] "GET /api/live-screenshot HTTP/1.1" 200 218309 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:23,324 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:23 +0200] "GET /api/graph HTTP/1.1" 200 6011 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:24,211 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:24 +0200] "GET /api/graph HTTP/1.1" 200 6011 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:25,233 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:24 +0200] "GET /api/live-screenshot HTTP/1.1" 200 217601 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:27,130 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:27 +0200] "GET /api/graph HTTP/1.1" 200 6011 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:28,493 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:24 +0200] "GET /api/live-screenshot HTTP/1.1" 200 217601 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:29,186 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:27 +0200] "GET /api/live-screenshot HTTP/1.1" 200 217601 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:29,980 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:28 +0200] "GET /api/live-screenshot HTTP/1.1" 200 217601 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:30,058 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-12 01:34:30,905 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:30 +0200] "GET /api/live-screenshot HTTP/1.1" 200 217601 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:31,620 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:30 +0200] "GET /api/live-screenshot HTTP/1.1" 200 217601 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:33,885 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:33 +0200] "GET /api/live-screenshot HTTP/1.1" 200 217601 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:34,074 | INFO     | explorer.vision | [ai]🔍 Analyzed screen: Product List[/ai] (9 elements)
2026-04-12 01:34:34,211 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:34 +0200] "GET /api/graph HTTP/1.1" 200 9637 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:34,215 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:34 +0200] "GET /api/graph HTTP/1.1" 200 9637 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:34,226 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:34 +0200] "GET /api/graph HTTP/1.1" 200 9657 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:34,228 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:34 +0200] "GET /api/graph HTTP/1.1" 200 9657 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:34,235 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:34 +0200] "GET /api/graph HTTP/1.1" 200 9657 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:34,565 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:33 +0200] "GET /api/live-screenshot HTTP/1.1" 200 217601 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:36,897 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:36 +0200] "GET /api/live-screenshot HTTP/1.1" 200 220885 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:37,134 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:37 +0200] "GET /api/graph HTTP/1.1" 200 9975 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:38,306 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:36 +0200] "GET /api/live-screenshot HTTP/1.1" 200 220885 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:40,069 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:39 +0200] "GET /api/live-screenshot HTTP/1.1" 200 220297 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:41,613 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:39 +0200] "GET /api/live-screenshot HTTP/1.1" 200 212541 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:43,411 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:42 +0200] "GET /api/live-screenshot HTTP/1.1" 200 212541 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:44,205 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:44 +0200] "GET /api/graph HTTP/1.1" 200 10306 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:44,819 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:42 +0200] "GET /api/live-screenshot HTTP/1.1" 200 212541 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:45,878 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:45 +0200] "GET /api/live-screenshot HTTP/1.1" 200 220297 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:47,135 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:47 +0200] "GET /api/graph HTTP/1.1" 200 10638 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:47,237 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:45 +0200] "GET /api/live-screenshot HTTP/1.1" 200 220297 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:49,344 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:48 +0200] "GET /api/live-screenshot HTTP/1.1" 200 220297 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:50,306 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:48 +0200] "GET /api/live-screenshot HTTP/1.1" 200 212381 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:52,139 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:51 +0200] "GET /api/live-screenshot HTTP/1.1" 200 212381 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:53,509 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:51 +0200] "GET /api/live-screenshot HTTP/1.1" 200 212381 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:54,237 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:54 +0200] "GET /api/graph HTTP/1.1" 200 10990 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:34:54,928 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:34:54 +0200] "GET /api/live-screenshot HTTP/1.1" 200 212381 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
