2026-04-12 02:40:28,455 | INFO     | explorer.server | UI static files served from: C:\Users\rylan\Documents\Github\opentelemetry-demo\src\react-native-explorer\ui
2026-04-12 02:40:28,457 | INFO     | explorer.server | API server running at http://127.0.0.1:5100
2026-04-12 02:40:28,607 | INFO     | explorer.mcp | MCP: Starting connection...
2026-04-12 02:40:28,633 | INFO     | explorer.server | 📡 WebSocket client connected (1 total)
2026-04-12 02:40:28,988 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:28 +0200] "GET / HTTP/1.1" 200 341 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:30,346 | INFO     | explorer.server | 📡 WebSocket client connected (2 total)
2026-04-12 02:40:30,366 | ERROR    | explorer.mcp | Failed to take screenshot: Tool 'mobile_take_screenshot' not found. Available: set()
2026-04-12 02:40:30,368 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:30 +0200] "GET /api/live-screenshot HTTP/1.1" 500 227 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:31,724 | INFO     | explorer.server | 📡 WebSocket client disconnected (1 remaining)
2026-04-12 02:40:31,727 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:30 +0200] "GET /ws/live HTTP/1.1" 101 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:31,750 | ERROR    | explorer.mcp | Failed to take screenshot: Tool 'mobile_take_screenshot' not found. Available: set()
2026-04-12 02:40:31,752 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:31 +0200] "GET /api/live-screenshot HTTP/1.1" 500 227 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:31,856 | ERROR    | explorer.mcp | Failed to take screenshot: Tool 'mobile_take_screenshot' not found. Available: set()
2026-04-12 02:40:31,858 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:31 +0200] "GET /api/live-screenshot HTTP/1.1" 500 227 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:31,862 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:31 +0200] "GET /api/status HTTP/1.1" 200 369 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:31,863 | INFO     | explorer.server | 📡 WebSocket client connected (2 total)
2026-04-12 02:40:31,867 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:31 +0200] "GET /api/graph HTTP/1.1" 200 320 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:31,874 | ERROR    | explorer.mcp | Failed to take screenshot: Tool 'mobile_take_screenshot' not found. Available: set()
2026-04-12 02:40:31,876 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:31 +0200] "GET /api/live-screenshot HTTP/1.1" 500 227 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:34,521 | INFO     | explorer.mcp | MCP: Tools discovered: mobile_click_on_screen_at_coordinates, mobile_stop_screen_recording, mobile_install_app, mobile_uninstall_app, mobile_type_keys, mobile_get_orientation, mobile_terminate_app, mobile_take_screenshot, mobile_set_orientation, mobile_get_screen_size, mobile_double_tap_on_screen, mobile_list_elements_on_screen, mobile_save_screenshot, mobile_list_available_devices, mobile_open_url, mobile_start_screen_recording, mobile_swipe_on_screen, mobile_press_button, mobile_launch_app, mobile_long_press_on_screen_at_coordinates, mobile_list_apps
2026-04-12 02:40:34,919 | INFO     | explorer.mcp | 📱 Using device: emulator-5554
2026-04-12 02:40:35,330 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:35 +0200] "POST /api/agent/start HTTP/1.1" 200 389 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:40,456 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:39 +0200] "GET /api/live-screenshot HTTP/1.1" 200 177913 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:41,629 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-12 02:40:41,669 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:41 +0200] "GET /api/live-screenshot HTTP/1.1" 200 177894 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:42,782 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:42 +0200] "GET /api/live-screenshot HTTP/1.1" 200 177913 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:43,510 | INFO     | explorer.vision | [ai]🔍 Analyzed screen: Customer Support[/ai] (3 elements)
2026-04-12 02:40:43,579 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:43 +0200] "GET /api/graph HTTP/1.1" 200 2154 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:43,586 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:43 +0200] "GET /api/graph HTTP/1.1" 200 2135 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:43,624 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:43 +0200] "GET /api/screenshots/20260412_024043_512912.png HTTP/1.1" 200 260 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:45,331 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:44 +0200] "GET /api/live-screenshot HTTP/1.1" 200 218186 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:46,330 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:44 +0200] "GET /api/live-screenshot HTTP/1.1" 200 218121 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:46,889 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:46 +0200] "GET /api/graph HTTP/1.1" 200 2487 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:48,350 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:47 +0200] "GET /api/live-screenshot HTTP/1.1" 200 218102 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:48,355 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:47 +0200] "GET /api/live-screenshot HTTP/1.1" 200 218213 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:51,527 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:49 +0200] "GET /api/live-screenshot HTTP/1.1" 200 218213 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:51,533 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:50 +0200] "GET /api/live-screenshot HTTP/1.1" 200 218194 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:52,470 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-12 02:40:52,798 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:52 +0200] "GET /api/live-screenshot HTTP/1.1" 200 218121 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:53,686 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:53 +0200] "GET /api/live-screenshot HTTP/1.1" 200 218102 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:54,920 | INFO     | explorer.vision | [ai]🔍 Analyzed screen: Support Screen[/ai] (5 elements)
2026-04-12 02:40:55,014 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:54 +0200] "GET /api/graph HTTP/1.1" 200 4877 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:40:55,019 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:40:55 +0200] "GET /api/graph HTTP/1.1" 200 4916 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
