2026-04-04 00:49:37,359 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002045B0256C0>)
2026-04-04 00:49:37,387 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002045B0256C0>) completed
2026-04-04 00:49:37,407 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002045B0256C0>)
2026-04-04 00:49:37,424 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002045B0256C0>) completed
2026-04-04 00:49:37,431 | INFO     | aiohttp.access | 127.0.0.1 [04/Apr/2026:00:49:37 +0200] "GET /api/graph HTTP/1.1" 200 283 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-04 00:49:46,367 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x000002045AF9CF40>, 'SELECT * FROM screens ORDER BY first_seen', [])
2026-04-04 00:49:46,380 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x000002045AF9CF40>, 'SELECT * FROM screens ORDER BY first_seen', []) completed
2026-04-04 00:49:46,392 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002045B0256C0>)
2026-04-04 00:49:46,403 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002045B0256C0>) completed
2026-04-04 00:49:46,415 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002045B0256C0>)
2026-04-04 00:49:46,430 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002045B0256C0>) completed
2026-04-04 00:49:46,438 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x000002045AF9CF40>, 'SELECT * FROM transitions ORDER BY timestamp', [])
2026-04-04 00:49:46,458 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x000002045AF9CF40>, 'SELECT * FROM transitions ORDER BY timestamp', []) completed
2026-04-04 00:49:46,470 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002045B0256C0>)
2026-04-04 00:49:46,482 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002045B0256C0>) completed
2026-04-04 00:49:46,495 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002045B0256C0>)
2026-04-04 00:49:46,507 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002045B0256C0>) completed
2026-04-04 00:49:46,515 | INFO     | aiohttp.access | 127.0.0.1 [04/Apr/2026:00:49:46 +0200] "GET /api/graph HTTP/1.1" 200 283 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-04 00:49:49,008 | INFO     | explorer.mcp | ✅ Connected! Available tools: mobile_install_app, mobile_press_button, mobile_get_orientation, mobile_list_elements_on_screen, mobile_take_screenshot, mobile_list_apps, mobile_swipe_on_screen, mobile_open_url, mobile_terminate_app, mobile_type_keys, mobile_get_screen_size, mobile_click_on_screen_at_coordinates, mobile_start_screen_recording, mobile_uninstall_app, mobile_list_available_devices, mobile_stop_screen_recording, mobile_launch_app, mobile_save_screenshot, mobile_set_orientation, mobile_long_press_on_screen_at_coordinates, mobile_double_tap_on_screen
2026-04-04 00:49:50,876 | DEBUG    | explorer.mcp | Device list response: {"devices":[{"id":"emulator-5554","name":"Pixel 4 API 35","platform":"android","type":"emulator","version":"15","state":"online"}]}
2026-04-04 00:49:50,881 | INFO     | explorer.mcp | 📱 Using device: emulator-5554
2026-04-04 00:49:50,891 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x000002045AF9CF40>, 'SELECT COUNT(*) as cnt FROM screens', [])
2026-04-04 00:49:50,898 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x000002045AF9CF40>, 'SELECT COUNT(*) as cnt FROM screens', []) completed
2026-04-04 00:49:50,910 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchone of sqlite3.Cursor object at 0x000002045B0256C0>)
2026-04-04 00:49:50,923 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchone of sqlite3.Cursor object at 0x000002045B0256C0>) completed
2026-04-04 00:49:50,931 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002045B0256C0>)
2026-04-04 00:49:50,938 | DEBUG    | explorer.mcp | Calling MCP tool: mobile_take_screenshot({'device': 'emulator-5554'})
2026-04-04 00:49:50,943 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002045B0256C0>) completed
2026-04-04 00:49:53,327 | DEBUG    | explorer.mcp |   Content item: type=image, attrs=['annotations', 'construct', 'copy', 'data', 'dict', 'from_orm', 'json', 'meta', 'mimeType', 'model_computed_fields', 'model_config', 'model_construct', 'model_copy', 'model_dump', 'model_dump_json', 'model_extra', 'model_fields', 'model_fields_set', 'model_json_schema', 'model_parametrized_name', 'model_post_init', 'model_rebuild', 'model_validate', 'model_validate_json', 'model_validate_strings', 'parse_file', 'parse_obj', 'parse_raw', 'schema', 'schema_json', 'type', 'update_forward_refs', 'validate']
2026-04-04 00:49:53,351 | DEBUG    | explorer.mcp | Screenshot result type: <class 'dict'>, preview: (dict/bytes)
2026-04-04 00:49:53,360 | DEBUG    | explorer.mcp | Calling MCP tool: mobile_list_elements_on_screen({'device': 'emulator-5554'})
2026-04-04 00:49:56,366 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x000002045AF9CF40>, 'SELECT * FROM screens ORDER BY first_seen', [])
2026-04-04 00:49:56,380 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x000002045AF9CF40>, 'SELECT * FROM screens ORDER BY first_seen', []) completed
2026-04-04 00:49:56,392 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002045B0256C0>)
2026-04-04 00:49:56,400 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002045B0256C0>) completed
2026-04-04 00:49:56,407 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002045B0256C0>)
2026-04-04 00:49:56,415 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002045B0256C0>) completed
2026-04-04 00:49:56,423 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x000002045AF9CF40>, 'SELECT * FROM transitions ORDER BY timestamp', [])
2026-04-04 00:49:56,434 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x000002045AF9CF40>, 'SELECT * FROM transitions ORDER BY timestamp', []) completed
2026-04-04 00:49:56,442 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002045B0256C0>)
2026-04-04 00:49:56,453 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000002045B0256C0>) completed
2026-04-04 00:49:56,470 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002045B0256C0>)
2026-04-04 00:49:56,478 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000002045B0256C0>) completed
2026-04-04 00:49:56,486 | INFO     | aiohttp.access | 127.0.0.1 [04/Apr/2026:00:49:56 +0200] "GET /api/graph HTTP/1.1" 200 283 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-04 00:49:58,259 | DEBUG    | explorer.mcp |   Content item: type=text, attrs=['annotations', 'construct', 'copy', 'dict', 'from_orm', 'json', 'meta', 'model_computed_fields', 'model_config', 'model_construct', 'model_copy', 'model_dump', 'model_dump_json', 'model_extra', 'model_fields', 'model_fields_set', 'model_json_schema', 'model_parametrized_name', 'model_post_init', 'model_rebuild', 'model_validate', 'model_validate_json', 'model_validate_strings', 'parse_file', 'parse_obj', 'parse_raw', 'schema', 'schema_json', 'text', 'type', 'update_forward_refs', 'validate']
2026-04-04 00:49:58,407 | DEBUG    | PIL.PngImagePlugin | STREAM b'IHDR' 16 13
2026-04-04 00:49:58,412 | DEBUG    | PIL.PngImagePlugin | STREAM b'sRGB' 41 1
2026-04-04 00:49:58,417 | DEBUG    | PIL.PngImagePlugin | STREAM b'sBIT' 54 4
2026-04-04 00:49:58,422 | DEBUG    | PIL.PngImagePlugin | b'sBIT' 54 4 (unknown)
2026-04-04 00:49:58,428 | DEBUG    | PIL.PngImagePlugin | STREAM b'IDAT' 70 8192
2026-04-04 00:49:58,743 | DEBUG    | httpcore.connection | connect_tcp.started host='openrouter.ai' port=443 local_address=None timeout=60.0 socket_options=None
2026-04-04 00:49:58,812 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000002045B086690>
2026-04-04 00:49:58,818 | DEBUG    | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x000002045AF719D0> server_hostname='openrouter.ai' timeout=60.0
2026-04-04 00:49:58,870 | DEBUG    | httpcore.connection | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x000002045AFB0650>
2026-04-04 00:49:58,881 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-04-04 00:49:58,887 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-04-04 00:49:58,892 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-04-04 00:49:58,899 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-04-04 00:49:58,908 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-04-04 00:49:59,170 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 402, b'Payment Required', [(b'Date', b'Fri, 03 Apr 2026 22:50:01 GMT'), (b'Content-Type', b'application/json'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Access-Control-Allow-Origin', b'*'), (b'Permissions-Policy', b'payment=(self "https://checkout.stripe.com" "https://connect-js.stripe.com" "https://js.stripe.com" "https://*.js.stripe.com" "https://hooks.stripe.com")'), (b'Referrer-Policy', b'no-referrer, strict-origin-when-cross-origin'), (b'X-Content-Type-Options', b'nosniff'), (b'Server', b'cloudflare'), (b'CF-RAY', b'9e6ba13df8ca28ef-MAD')])
2026-04-04 00:49:59,184 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 402 Payment Required"
2026-04-04 00:49:59,192 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-04-04 00:49:59,197 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-04-04 00:49:59,205 | DEBUG    | httpcore.http11 | response_closed.started
2026-04-04 00:49:59,210 | DEBUG    | httpcore.http11 | response_closed.complete
2026-04-04 00:49:59,217 | ERROR    | explorer.vision | OpenRouter API error 402: {"error":{"message":"This request requires more credits, or fewer max_tokens. You requested up to 2048 tokens, but can only afford 139. To increase, visit https://openrouter.ai/settings/keys and create a key with a higher total limit","code":402,"metadata":{"provider_name":null}},"user_id":"user_30Cm5dXo4bbS9kt5YkNUli4XMBN"}
2026-04-04 00:49:59,224 | ERROR    | explorer.vision | Screen analysis failed: Client error '402 Payment Required' for url 'https://openrouter.ai/api/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-04-04 00:49:59,234 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x000002045AF9CF40>, 'SELECT * FROM screens WHERE id = ?', ('20260404_004959_230288',))
