2026-04-06 23:24:29,897 | INFO     | explorer.server | UI static files served from: ui
2026-04-06 23:24:29,899 | INFO     | explorer.server | API server running at http://127.0.0.1:5100
2026-04-06 23:24:30,267 | INFO     | explorer.server | 📡 WebSocket client connected (1 total)
2026-04-06 23:24:41,428 | INFO     | explorer.server | 📡 WebSocket client connected (2 total)
2026-04-06 23:24:41,436 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:24:41 +0200] "GET /api/status HTTP/1.1" 200 436 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:24:41,446 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:24:41 +0200] "GET /api/screens HTTP/1.1" 200 311 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:24:41,455 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:24:41 +0200] "GET /api/stories HTTP/1.1" 200 311 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:24:41,491 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:24:41 +0200] "GET /api/agent/logs HTTP/1.1" 200 396 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:24:41,531 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:24:41 +0200] "GET /api/graph HTTP/1.1" 200 452 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:24:42,627 | INFO     | explorer.managed | Starting explorer: C:\Users\rylan\Documents\Github\opentelemetry-demo\src\react-native-explorer\venv\Scripts\python.exe -m agent --config config.yaml --managed
2026-04-06 23:24:43,190 | INFO     | explorer.managed | Explorer started with PID 28884
2026-04-06 23:24:43,438 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:24:43 +0200] "GET /api/status HTTP/1.1" 200 436 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:24:43,443 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:24:43 +0200] "GET /api/agent/logs HTTP/1.1" 200 387 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:24:45,188 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:24:42 +0200] "POST /api/agent/start HTTP/1.1" 200 331 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:24:45,193 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:24:45 +0200] "GET /api/status HTTP/1.1" 200 441 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:24:45,198 | INFO     | explorer.managed | [Explorer] [EXPLORER] Starting managed explorer...
2026-04-06 23:24:45,203 | ERROR    | explorer.managed | [Explorer] --- Logging error ---
2026-04-06 23:24:45,215 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:24:45 +0200] "GET /api/agent/logs HTTP/1.1" 200 387 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:24:45,281 | INFO     | explorer.managed | [Explorer] [EXPLORER] Initializing...
2026-04-06 23:24:45,329 | ERROR    | explorer.managed | [Explorer] Traceback (most recent call last):
2026-04-06 23:24:45,367 | INFO     | explorer.managed | [Explorer] [EXPLORER] Connecting to Android emulator...
2026-04-06 23:24:45,408 | ERROR    | explorer.managed | [Explorer] File "C:\Users\rylan\Documents\Github\opentelemetry-demo\src\react-native-explorer\venv\Lib\site-packages\rich\logging.py", line 178, in emit
2026-04-06 23:24:45,493 | ERROR    | explorer.managed | [Explorer] self.console.print(log_renderable)
2026-04-06 23:24:45,535 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:24:45 +0200] "GET /api/status HTTP/1.1" 200 441 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:24:45,576 | ERROR    | explorer.managed | [Explorer] File "C:\Users\rylan\Documents\Github\opentelemetry-demo\src\react-native-explorer\venv\Lib\site-packages\rich\console.py", line 1697, in print
2026-04-06 23:24:45,608 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:24:45 +0200] "GET /api/agent/logs HTTP/1.1" 200 387 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:24:45,650 | ERROR    | explorer.managed | [Explorer] with self:
2026-04-06 23:24:45,691 | ERROR    | explorer.managed | [Explorer] File "C:\Users\rylan\Documents\Github\opentelemetry-demo\src\react-native-explorer\venv\Lib\site-packages\rich\console.py", line 870, in __exit__
2026-04-06 23:24:45,761 | ERROR    | explorer.managed | [Explorer] self._exit_buffer()
