2026-04-06 23:19:48,613 | INFO     | explorer.server | UI static files served from: ui
2026-04-06 23:19:48,616 | INFO     | explorer.server | API server running at http://127.0.0.1:5100
2026-04-06 23:19:48,838 | INFO     | explorer.server | 📡 WebSocket client connected (1 total)
2026-04-06 23:19:50,202 | INFO     | explorer.server | 📡 WebSocket client connected (2 total)
2026-04-06 23:19:51,002 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:19:51 +0200] "GET /api/status HTTP/1.1" 200 436 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:19:51,013 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:19:51 +0200] "GET /api/status HTTP/1.1" 200 436 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:19:51,022 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:19:51 +0200] "GET /api/agent/logs HTTP/1.1" 200 396 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:19:51,028 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:19:51 +0200] "GET /api/screens HTTP/1.1" 200 311 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:19:51,075 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:19:51 +0200] "GET /api/agent/logs HTTP/1.1" 200 396 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:19:51,121 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:19:51 +0200] "GET /api/stories HTTP/1.1" 200 0 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:19:51,160 | INFO     | explorer.server | 📡 WebSocket client disconnected (1 remaining)
2026-04-06 23:19:51,256 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:19:48 +0200] "GET /ws/live HTTP/1.1" 101 0 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:19:51,298 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:19:51 +0200] "GET /api/graph HTTP/1.1" 200 0 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:19:51,870 | INFO     | explorer.server | 📡 WebSocket client disconnected (0 remaining)
2026-04-06 23:19:51,875 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:19:50 +0200] "GET /ws/live HTTP/1.1" 101 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:19:52,197 | INFO     | explorer.server | 📡 WebSocket client connected (1 total)
2026-04-06 23:19:52,828 | INFO     | explorer.server | 📡 WebSocket client disconnected (0 remaining)
2026-04-06 23:19:52,835 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:19:52 +0200] "GET /ws/live HTTP/1.1" 101 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:19:59,915 | INFO     | explorer.server | 📡 WebSocket client connected (1 total)
2026-04-06 23:19:59,922 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:19:59 +0200] "GET /api/status HTTP/1.1" 200 436 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:19:59,928 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:19:59 +0200] "GET /api/screens HTTP/1.1" 200 311 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:19:59,934 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:19:59 +0200] "GET /api/stories HTTP/1.1" 200 311 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:19:59,987 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:19:59 +0200] "GET /api/agent/logs HTTP/1.1" 200 396 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:00,023 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:19:59 +0200] "GET /api/graph HTTP/1.1" 200 452 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:01,920 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:01 +0200] "GET /api/status HTTP/1.1" 200 436 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:01,925 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:01 +0200] "GET /api/agent/logs HTTP/1.1" 200 396 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:03,177 | INFO     | explorer.managed | Starting explorer: C:\Users\rylan\Documents\Github\opentelemetry-demo\src\react-native-explorer\venv\Scripts\python.exe -m agent.explorer --config config.yaml
2026-04-06 23:20:03,749 | INFO     | explorer.managed | Explorer started with PID 26880
2026-04-06 23:20:03,922 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:03 +0200] "GET /api/status HTTP/1.1" 200 436 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:03,926 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:03 +0200] "GET /api/agent/logs HTTP/1.1" 200 387 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:04,921 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:04 +0200] "GET /api/status HTTP/1.1" 200 441 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:04,926 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:04 +0200] "GET /api/agent/logs HTTP/1.1" 200 387 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:04,932 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:04 +0200] "GET /api/screens HTTP/1.1" 200 311 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:04,937 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:04 +0200] "GET /api/stories HTTP/1.1" 200 311 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:04,992 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:04 +0200] "GET /api/graph HTTP/1.1" 200 452 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:05,754 | ERROR    | explorer.managed | Failed to start explorer: Explorer exited with code 0: <frozen runpy>:128: RuntimeWarning: 'agent.explorer' found in sys.modules after import of package 'agent', but prior to execution of 'agent.explorer'; this may result in unpredictable behaviour

2026-04-06 23:20:05,759 | ERROR    | explorer.server | Failed to start explorer
Traceback (most recent call last):
  File "C:\Users\rylan\Documents\Github\opentelemetry-demo\src\react-native-explorer\agent\server.py", line 581, in _handle_agent_start
    await self._managed_explorer.start()
  File "C:\Users\rylan\Documents\Github\opentelemetry-demo\src\react-native-explorer\agent\managed_explorer.py", line 70, in start
    raise RuntimeError(f"Explorer exited with code {self.process.returncode}: {error_msg}")
RuntimeError: Explorer exited with code 0: <frozen runpy>:128: RuntimeWarning: 'agent.explorer' found in sys.modules after import of package 'agent', but prior to execution of 'agent.explorer'; this may result in unpredictable behaviour

2026-04-06 23:20:05,877 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:03 +0200] "POST /api/agent/start HTTP/1.1" 500 569 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:05,923 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:05 +0200] "GET /api/status HTTP/1.1" 200 441 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:05,928 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:05 +0200] "GET /api/agent/logs HTTP/1.1" 200 386 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:07,929 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:07 +0200] "GET /api/status HTTP/1.1" 200 441 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:07,935 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:07 +0200] "GET /api/agent/logs HTTP/1.1" 200 386 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:09,924 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:09 +0200] "GET /api/status HTTP/1.1" 200 441 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:09,929 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:09 +0200] "GET /api/status HTTP/1.1" 200 441 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:09,934 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:09 +0200] "GET /api/agent/logs HTTP/1.1" 200 386 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:09,939 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:09 +0200] "GET /api/agent/logs HTTP/1.1" 200 386 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:09,988 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:09 +0200] "GET /api/screens HTTP/1.1" 200 311 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:10,023 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:09 +0200] "GET /api/stories HTTP/1.1" 200 311 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:10,060 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:09 +0200] "GET /api/graph HTTP/1.1" 200 452 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:20:11,919 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:20:11 +0200] "GET /api/status HTTP/1.1" 200 441 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
