2026-04-12 01:28:19,489 | INFO     | explorer.server | UI static files served from: C:\Users\rylan\Documents\Github\opentelemetry-demo\src\react-native-explorer\ui
2026-04-12 01:28:19,491 | INFO     | explorer.server | API server running at http://127.0.0.1:5100
2026-04-12 01:28:19,635 | INFO     | explorer.mcp | MCP: Starting connection...
2026-04-12 01:28:20,008 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:19 +0200] "GET / HTTP/1.1" 200 341 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:24,992 | INFO     | explorer.mcp | MCP: Tools discovered: mobile_launch_app, mobile_uninstall_app, mobile_click_on_screen_at_coordinates, mobile_type_keys, mobile_install_app, mobile_save_screenshot, mobile_list_apps, mobile_take_screenshot, mobile_long_press_on_screen_at_coordinates, mobile_list_available_devices, mobile_swipe_on_screen, mobile_set_orientation, mobile_open_url, mobile_get_screen_size, mobile_double_tap_on_screen, mobile_stop_screen_recording, mobile_terminate_app, mobile_list_elements_on_screen, mobile_press_button, mobile_start_screen_recording, mobile_get_orientation
2026-04-12 01:28:25,383 | INFO     | explorer.mcp | 📱 Using device: emulator-5554
2026-04-12 01:28:32,236 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:32 +0200] "GET /api/status HTTP/1.1" 200 326 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:32,239 | INFO     | explorer.server | 📡 WebSocket client connected (1 total)
2026-04-12 01:28:32,242 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:32 +0200] "GET /api/graph HTTP/1.1" 200 320 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:32,243 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:32 +0200] "GET /api/screens HTTP/1.1" 200 179 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:32,246 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:32 +0200] "GET /api/stories HTTP/1.1" 200 179 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:32,249 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:32 +0200] "GET /api/screens HTTP/1.1" 200 179 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:35,755 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:35 +0200] "GET /api/live-screenshot HTTP/1.1" 200 394165 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:36,205 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:36 +0200] "GET /api/graph HTTP/1.1" 200 320 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:36,759 | INFO     | explorer.server | 📡 WebSocket client connected (2 total)
2026-04-12 01:28:38,764 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:38 +0200] "DELETE /api/storage HTTP/1.1" 200 361 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:38,785 | INFO     | explorer.server | 📡 WebSocket client disconnected (1 remaining)
2026-04-12 01:28:38,787 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:32 +0200] "GET /ws/live HTTP/1.1" 101 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:38,816 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:38 +0200] "GET /api/status HTTP/1.1" 200 313 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:38,819 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:38 +0200] "GET /api/screens HTTP/1.1" 200 179 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:38,822 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:38 +0200] "GET /api/stories HTTP/1.1" 200 179 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:38,824 | INFO     | explorer.server | 📡 WebSocket client connected (2 total)
2026-04-12 01:28:38,827 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:38 +0200] "GET /api/graph HTTP/1.1" 200 320 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:38,830 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:38 +0200] "GET /api/screens HTTP/1.1" 200 179 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:39,316 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:38 +0200] "GET /api/live-screenshot HTTP/1.1" 200 394165 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:42,167 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:42 +0200] "POST /api/agent/start HTTP/1.1" 200 389 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:45,735 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:45 +0200] "GET /api/live-screenshot HTTP/1.1" 200 394165 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:46,207 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:46 +0200] "GET /api/graph HTTP/1.1" 200 320 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:46,243 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:45 +0200] "GET /api/live-screenshot HTTP/1.1" 200 394165 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:47,740 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-12 01:28:48,678 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:48 +0200] "GET /api/live-screenshot HTTP/1.1" 200 394165 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:48,815 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:48 +0200] "GET /api/graph HTTP/1.1" 200 320 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:49,222 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:48 +0200] "GET /api/live-screenshot HTTP/1.1" 200 382153 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:49,306 | INFO     | explorer.vision | [ai]🔍 Analyzed screen: Console Warning Log[/ai] (2 elements)
2026-04-12 01:28:49,386 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:49 +0200] "GET /api/graph HTTP/1.1" 200 1920 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:49,393 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:49 +0200] "GET /api/graph HTTP/1.1" 200 1920 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:51,798 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:51 +0200] "GET /api/live-screenshot HTTP/1.1" 200 165981 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:52,735 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:51 +0200] "GET /api/live-screenshot HTTP/1.1" 200 165981 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:55,901 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:54 +0200] "GET /api/live-screenshot HTTP/1.1" 200 165981 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:56,199 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:56 +0200] "GET /api/graph HTTP/1.1" 200 2235 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 01:28:56,368 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:01:28:55 +0200] "GET /api/live-screenshot HTTP/1.1" 200 165981 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
