2026-04-12 11:28:24,794 | INFO     | explorer.server | UI static files served from: C:\Users\rylan\Documents\Github\opentelemetry-demo\src\react-native-explorer\ui
2026-04-12 11:28:24,795 | INFO     | explorer.server | API server running at http://127.0.0.1:5100
2026-04-12 11:28:24,943 | INFO     | explorer.mcp | MCP: Starting connection...
2026-04-12 11:28:26,237 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:28:26 +0200] "GET / HTTP/1.1" 200 341 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:28:26,265 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:28:26 +0200] "GET /favicon.ico HTTP/1.1" 404 172 "http://localhost:5100/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:28:32,192 | INFO     | explorer.mcp | MCP: Tools discovered: mobile_get_screen_size, mobile_press_button, mobile_open_url, mobile_list_elements_on_screen, mobile_get_orientation, mobile_start_screen_recording, mobile_type_keys, mobile_take_screenshot, mobile_install_app, mobile_double_tap_on_screen, mobile_uninstall_app, mobile_set_orientation, mobile_list_available_devices, mobile_long_press_on_screen_at_coordinates, mobile_click_on_screen_at_coordinates, mobile_launch_app, mobile_swipe_on_screen, mobile_save_screenshot, mobile_list_apps, mobile_terminate_app, mobile_stop_screen_recording
2026-04-12 11:28:32,642 | INFO     | explorer.mcp | 📱 Using device: emulator-5554
2026-04-12 11:29:33,445 | INFO     | explorer.server | 📡 WebSocket client connected (1 total)
2026-04-12 11:29:33,448 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:29:33 +0200] "GET /api/status HTTP/1.1" 200 326 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:29:33,453 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:29:33 +0200] "GET /api/graph HTTP/1.1" 200 320 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:29:34,258 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:29:33 +0200] "GET /api/live-screenshot HTTP/1.1" 200 920957 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:29:34,944 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:29:34 +0200] "GET /api/live-screenshot HTTP/1.1" 200 920957 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:29:35,559 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:29:34 +0200] "GET /api/live-screenshot HTTP/1.1" 200 920957 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:29:36,202 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:29:35 +0200] "GET /api/live-screenshot HTTP/1.1" 200 920957 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:12,363 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:12 +0200] "GET /index.html HTTP/1.1" 304 179 "http://localhost:5100/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:12,379 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:12 +0200] "GET /assets/index-mRfiHnyM.js HTTP/1.1" 304 180 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:12,383 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:12 +0200] "GET /assets/index-dLJqJPNQ.css HTTP/1.1" 304 179 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:12,444 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:12 +0200] "GET /api/graph HTTP/1.1" 200 301 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:12,446 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:12 +0200] "GET /api/screens HTTP/1.1" 200 160 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:12,449 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:12 +0200] "GET /api/stories HTTP/1.1" 200 160 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:12,450 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:12 +0200] "GET /api/status HTTP/1.1" 200 307 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:12,453 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:12 +0200] "GET /api/screens HTTP/1.1" 200 160 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:12,753 | INFO     | explorer.server | 📡 WebSocket client connected (2 total)
2026-04-12 11:30:16,462 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:15 +0200] "GET /api/live-screenshot HTTP/1.1" 200 921006 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:19,886 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:19 +0200] "GET /api/live-screenshot HTTP/1.1" 200 921006 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:20,744 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:20 +0200] "POST /api/agent/start HTTP/1.1" 200 389 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:23,195 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:23 +0200] "GET /api/graph HTTP/1.1" 200 301 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:25,590 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:22 +0200] "GET /api/live-screenshot HTTP/1.1" 200 921006 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:25,612 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:23 +0200] "GET /api/live-screenshot HTTP/1.1" 200 921025 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:26,242 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:25 +0200] "GET /api/live-screenshot HTTP/1.1" 200 921006 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:26,656 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-12 11:30:26,838 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:25 +0200] "GET /api/live-screenshot HTTP/1.1" 200 921025 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:28,878 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:28 +0200] "GET /api/live-screenshot HTTP/1.1" 200 921006 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:29,531 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:28 +0200] "GET /api/live-screenshot HTTP/1.1" 200 921025 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:31,391 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:30 +0200] "GET /api/live-screenshot HTTP/1.1" 200 921025 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:32,040 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:31 +0200] "GET /api/live-screenshot HTTP/1.1" 200 921006 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:32,832 | INFO     | explorer.vision | [ai]🔍 Analyzed screen: Product List[/ai] (13 elements)
2026-04-12 11:30:33,016 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:33 +0200] "GET /api/graph HTTP/1.1" 200 5233 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 11:30:33,023 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:11:30:33 +0200] "GET /api/graph HTTP/1.1" 200 5214 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
