2026-04-06 23:47:10,620 | INFO     | explorer.server | UI static files served from: ui
2026-04-06 23:47:10,623 | INFO     | explorer.server | API server running at http://127.0.0.1:5100
2026-04-06 23:47:10,891 | INFO     | explorer.server | 📡 WebSocket client connected (1 total)
2026-04-06 23:47:12,887 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:47:12 +0200] "GET /api/status HTTP/1.1" 200 459 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:47:12,899 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:47:12 +0200] "GET /api/status HTTP/1.1" 200 459 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:47:12,906 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:47:12 +0200] "GET /api/agent/logs HTTP/1.1" 200 322 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:47:12,972 | INFO     | explorer.server | 📡 WebSocket client disconnected (0 remaining)
2026-04-06 23:47:13,005 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:47:10 +0200] "GET /ws/live HTTP/1.1" 101 0 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:47:13,054 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:47:12 +0200] "GET /api/agent/logs HTTP/1.1" 200 0 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:47:13,148 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:47:12 +0200] "GET /api/screens HTTP/1.1" 200 0 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:47:13,189 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:47:12 +0200] "GET /api/stories HTTP/1.1" 200 0 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:47:13,263 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:47:12 +0200] "GET /api/graph HTTP/1.1" 200 0 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:47:22,471 | INFO     | explorer.server | 📡 WebSocket client connected (1 total)
2026-04-06 23:47:22,477 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:47:22 +0200] "GET /api/status HTTP/1.1" 200 459 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:47:22,486 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:47:22 +0200] "GET /api/screens HTTP/1.1" 200 311 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:47:22,492 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:47:22 +0200] "GET /api/stories HTTP/1.1" 200 311 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:47:22,527 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:47:22 +0200] "GET /api/graph HTTP/1.1" 200 452 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:47:22,581 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:47:22 +0200] "GET /api/agent/logs HTTP/1.1" 200 322 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:47:24,482 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:47:24 +0200] "GET /api/status HTTP/1.1" 200 459 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:47:24,486 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:47:24 +0200] "GET /api/agent/logs HTTP/1.1" 200 322 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:47:24,814 | INFO     | explorer.managed | Starting explorer: C:\Users\rylan\Documents\Github\opentelemetry-demo\src\react-native-explorer\venv\Scripts\python.exe -u -m agent --config config.yaml --managed
2026-04-06 23:47:25,883 | INFO     | explorer.managed | Explorer process created (PID 31764)
2026-04-06 23:47:25,891 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:47:24 +0200] "POST /api/agent/start HTTP/1.1" 200 374 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
2026-04-06 23:47:25,909 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:47:25 +0200] "GET /api/status HTTP/1.1" 200 484 "http://localhost:3000/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36"
