2026-04-06 20:48:30,405 | INFO     | explorer.server | 🌐 API server running at http://127.0.0.1:5100
2026-04-06 20:48:30,420 | INFO     | explorer.mcp | 🔌 Connecting to Mobile MCP server...
2026-04-06 20:48:30,765 | INFO     | explorer.server | 📡 WebSocket client connected (1 total)
2026-04-06 20:48:31,963 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:48:31 +0200] "GET /api/stories HTTP/1.1" 200 179 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:48:31,966 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:48:31 +0200] "GET /api/status HTTP/1.1" 200 314 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:48:31,969 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:48:31 +0200] "GET /api/screens HTTP/1.1" 200 1093 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:48:31,975 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:48:31 +0200] "GET /api/screens HTTP/1.1" 200 1093 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:48:31,978 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:48:31 +0200] "GET /api/graph HTTP/1.1" 200 5427 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:48:36,949 | INFO     | explorer.server | 📡 WebSocket client connected (2 total)
2026-04-06 20:48:37,736 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:48:37 +0200] "GET /api/graph HTTP/1.1" 200 5427 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:48:41,390 | INFO     | explorer.mcp | ✅ Connected! Available tools: mobile_set_orientation, mobile_start_screen_recording, mobile_install_app, mobile_get_orientation, mobile_take_screenshot, mobile_launch_app, mobile_save_screenshot, mobile_long_press_on_screen_at_coordinates, mobile_press_button, mobile_swipe_on_screen, mobile_uninstall_app, mobile_list_available_devices, mobile_open_url, mobile_list_elements_on_screen, mobile_list_apps, mobile_terminate_app, mobile_stop_screen_recording, mobile_double_tap_on_screen, mobile_type_keys, mobile_get_screen_size, mobile_click_on_screen_at_coordinates
2026-04-06 20:48:41,933 | INFO     | explorer.mcp | 📱 Using device: emulator-5554
2026-04-06 20:48:42,199 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:48:42 +0200] "GET /api/graph HTTP/1.1" 200 5427 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:48:43,930 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:48:43 +0200] "GET /api/screens/20260406_204341_925795 HTTP/1.1" 200 3233 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:48:43,940 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:48:43 +0200] "GET /api/screenshots/20260406_204341_925795.png HTTP/1.1" 200 260 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:48:46,947 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-06 20:48:47,668 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:48:47 +0200] "GET /api/screens/20260406_204355_630801 HTTP/1.1" 200 2320 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:48:47,673 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:48:47 +0200] "GET /api/screenshots/20260406_204355_630801.png HTTP/1.1" 304 199 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:48:47,738 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:48:47 +0200] "GET /api/graph HTTP/1.1" 200 5427 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:48:50,164 | INFO     | explorer.vision | 🔍 Analyzed screen: [explore]Product List[/explore] (10 elements)
2026-04-06 20:48:52,207 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:48:52 +0200] "GET /api/graph HTTP/1.1" 200 8249 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:48:52,285 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:48:52 +0200] "GET /api/screens/20260406_204850_166141 HTTP/1.1" 200 3019 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:48:52,294 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:48:52 +0200] "GET /api/screenshots/20260406_204850_166141.png HTTP/1.1" 200 260 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:48:54,012 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-06 20:48:54,573 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:48:54 +0200] "GET /api/screens/20260406_204341_925795 HTTP/1.1" 200 3233 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:48:56,617 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:48:56 +0200] "GET /api/screens/20260406_204850_166141 HTTP/1.1" 200 3019 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:48:57,725 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:48:57 +0200] "GET /api/screens/20260406_204355_630801 HTTP/1.1" 200 2320 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:48:57,736 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:48:57 +0200] "GET /api/graph HTTP/1.1" 200 8249 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:48:59,065 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-06 20:49:01,715 | INFO     | explorer.vision | 🔍 Analyzed screen: [explore]Profile Screen[/explore] (7 elements)
