2026-04-06 23:02:33,069 | INFO     | explorer.server | UI static files served from: ui
2026-04-06 23:02:33,071 | INFO     | explorer.server | API server running at http://127.0.0.1:5100
2026-04-06 23:02:39,956 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:02:39 +0200] "GET /api/status HTTP/1.1" 200 436 "http://127.0.0.1:5100/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:02:39,960 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:02:39 +0200] "GET /api/screens HTTP/1.1" 200 311 "http://127.0.0.1:5100/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:02:39,962 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:02:39 +0200] "GET /api/stories HTTP/1.1" 200 311 "http://127.0.0.1:5100/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:02:39,965 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:02:39 +0200] "GET /api/graph HTTP/1.1" 200 452 "http://127.0.0.1:5100/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:02:40,298 | INFO     | explorer.server | 📡 WebSocket client connected (1 total)
2026-04-06 23:02:41,693 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:02:41 +0200] "GET /api/status HTTP/1.1" 200 436 "http://127.0.0.1:5100/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:02:41,698 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:02:41 +0200] "GET /api/screens HTTP/1.1" 200 311 "http://127.0.0.1:5100/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:02:41,699 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:02:41 +0200] "GET /api/stories HTTP/1.1" 200 311 "http://127.0.0.1:5100/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:02:41,702 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:02:41 +0200] "GET /api/graph HTTP/1.1" 200 452 "http://127.0.0.1:5100/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
