2026-04-12 02:06:02,037 | INFO     | explorer.server | UI static files served from: C:\Users\rylan\Documents\Github\opentelemetry-demo\src\react-native-explorer\ui
2026-04-12 02:06:02,038 | INFO     | explorer.server | API server running at http://127.0.0.1:5100
2026-04-12 02:06:02,177 | INFO     | explorer.mcp | MCP: Starting connection...
2026-04-12 02:06:02,555 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:02 +0200] "GET / HTTP/1.1" 200 341 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:04,203 | INFO     | explorer.server | 📡 WebSocket client connected (1 total)
2026-04-12 02:06:04,585 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:04 +0200] "GET /index.html HTTP/1.1" 304 179 "http://localhost:5100/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:04,606 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:04 +0200] "GET /assets/index-dLJqJPNQ.css HTTP/1.1" 304 179 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:04,607 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:04 +0200] "GET /assets/index-mRfiHnyM.js HTTP/1.1" 304 180 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:04,678 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:04 +0200] "GET /api/screens HTTP/1.1" 200 160 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:04,682 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:04 +0200] "GET /api/stories HTTP/1.1" 200 160 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:04,685 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:04 +0200] "GET /api/status HTTP/1.1" 200 350 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:04,688 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:04 +0200] "GET /api/graph HTTP/1.1" 200 301 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:04,694 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:04 +0200] "GET /api/screens HTTP/1.1" 200 160 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:04,990 | INFO     | explorer.server | 📡 WebSocket client connected (2 total)
2026-04-12 02:06:07,207 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:07 +0200] "POST /api/agent/start HTTP/1.1" 200 389 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:07,845 | INFO     | explorer.mcp | MCP: Tools discovered: mobile_start_screen_recording, mobile_swipe_on_screen, mobile_install_app, mobile_list_elements_on_screen, mobile_take_screenshot, mobile_long_press_on_screen_at_coordinates, mobile_type_keys, mobile_click_on_screen_at_coordinates, mobile_terminate_app, mobile_set_orientation, mobile_press_button, mobile_list_available_devices, mobile_stop_screen_recording, mobile_uninstall_app, mobile_save_screenshot, mobile_launch_app, mobile_list_apps, mobile_open_url, mobile_get_screen_size, mobile_get_orientation, mobile_double_tap_on_screen
2026-04-12 02:06:08,283 | INFO     | explorer.mcp | 📱 Using device: emulator-5554
2026-04-12 02:06:10,991 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:10 +0200] "POST /api/agent/start HTTP/1.1" 200 389 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:14,712 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:14 +0200] "GET /api/live-screenshot HTTP/1.1" 200 388670 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:15,207 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:15 +0200] "GET /api/graph HTTP/1.1" 200 301 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:15,368 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-12 02:06:16,662 | INFO     | explorer.vision | [ai]🔍 Analyzed screen: Console Error Log[/ai] (2 elements)
2026-04-12 02:06:16,751 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:16 +0200] "GET /api/graph HTTP/1.1" 200 1857 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:16,754 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:16 +0200] "GET /api/graph HTTP/1.1" 200 1876 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:17,718 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:17 +0200] "GET /api/live-screenshot HTTP/1.1" 200 212122 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:22,981 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:20 +0200] "GET /api/live-screenshot HTTP/1.1" 200 212122 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:23,699 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:23 +0200] "GET /api/live-screenshot HTTP/1.1" 200 212122 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:24,092 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-12 02:06:25,198 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:25 +0200] "GET /api/graph HTTP/1.1" 200 2173 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:26,672 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:26 +0200] "GET /api/live-screenshot HTTP/1.1" 200 202426 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:28,333 | INFO     | explorer.vision | [ai]🔍 Analyzed screen: Product List[/ai] (9 elements)
2026-04-12 02:06:28,466 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:28 +0200] "GET /api/graph HTTP/1.1" 200 5768 "http://localhost:5100/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-12 02:06:28,470 | INFO     | aiohttp.access | 127.0.0.1 [12/Apr/2026:02:06:28 +0200] "GET /api/graph HTTP/1.1" 200 5807 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
