2026-04-06 22:55:43,789 | INFO     | explorer.server | UI static files served from: ui
2026-04-06 22:55:43,792 | INFO     | explorer.server | API server running at http://127.0.0.1:5100
2026-04-06 22:55:56,532 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:22:55:56 +0200] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 22:55:56,829 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:22:55:56 +0200] "GET /favicon.ico HTTP/1.1" 404 174 "http://127.0.0.1:5100/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 22:55:57,005 | INFO     | explorer.server | 📡 WebSocket client connected (1 total)
2026-04-06 22:55:57,009 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:22:55:57 +0200] "GET /api/status HTTP/1.1" 200 436 "http://127.0.0.1:5100/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 22:55:57,014 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:22:55:57 +0200] "GET /api/screens HTTP/1.1" 200 311 "http://127.0.0.1:5100/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 22:55:57,015 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:22:55:57 +0200] "GET /api/stories HTTP/1.1" 200 311 "http://127.0.0.1:5100/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 22:55:57,019 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:22:55:57 +0200] "GET /api/graph HTTP/1.1" 200 452 "http://127.0.0.1:5100/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 22:56:01,695 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:22:56:01 +0200] "GET /api/status HTTP/1.1" 200 436 "http://127.0.0.1:5100/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 22:56:01,700 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:22:56:01 +0200] "GET /api/screens HTTP/1.1" 200 311 "http://127.0.0.1:5100/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 22:56:01,703 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:22:56:01 +0200] "GET /api/stories HTTP/1.1" 200 311 "http://127.0.0.1:5100/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
