2026-04-06 23:17:34,253 | INFO     | explorer.server | UI static files served from: ui
2026-04-06 23:17:34,255 | INFO     | explorer.server | API server running at http://127.0.0.1:5100
2026-04-06 23:17:34,406 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:34 +0200] "GET /api/status HTTP/1.1" 200 436 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:34,411 | INFO     | explorer.server | 📡 WebSocket client connected (1 total)
2026-04-06 23:17:34,522 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:34 +0200] "GET /api/agent/logs HTTP/1.1" 200 396 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:35,203 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:35 +0200] "GET /api/status HTTP/1.1" 200 436 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:35,207 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:35 +0200] "GET /api/agent/logs HTTP/1.1" 200 396 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:36,197 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:36 +0200] "GET /api/status HTTP/1.1" 200 436 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:36,204 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:36 +0200] "GET /api/agent/logs HTTP/1.1" 200 396 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:36,213 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:36 +0200] "GET /api/screens HTTP/1.1" 200 311 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:36,220 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:36 +0200] "GET /api/stories HTTP/1.1" 200 311 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:36,298 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:36 +0200] "GET /api/graph HTTP/1.1" 200 452 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:37,195 | INFO     | explorer.server | 📡 WebSocket client connected (2 total)
2026-04-06 23:17:37,200 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:37 +0200] "GET /api/status HTTP/1.1" 200 436 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:37,206 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:37 +0200] "GET /api/agent/logs HTTP/1.1" 200 396 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:39,198 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:39 +0200] "GET /api/status HTTP/1.1" 200 436 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:39,204 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:39 +0200] "GET /api/agent/logs HTTP/1.1" 200 396 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:41,197 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:41 +0200] "GET /api/status HTTP/1.1" 200 436 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:41,203 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:41 +0200] "GET /api/status HTTP/1.1" 200 436 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:41,208 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:41 +0200] "GET /api/agent/logs HTTP/1.1" 200 396 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:41,215 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:41 +0200] "GET /api/agent/logs HTTP/1.1" 200 396 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:41,269 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:41 +0200] "GET /api/screens HTTP/1.1" 200 311 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:41,306 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:41 +0200] "GET /api/stories HTTP/1.1" 200 311 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:41,340 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:41 +0200] "GET /api/graph HTTP/1.1" 200 452 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:43,200 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:43 +0200] "GET /api/status HTTP/1.1" 200 436 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:43,215 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:43 +0200] "GET /api/agent/logs HTTP/1.1" 200 396 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:43,270 | INFO     | explorer.server | 📡 WebSocket client connected (3 total)
2026-04-06 23:17:43,276 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:43 +0200] "GET /api/status HTTP/1.1" 200 436 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:43,285 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:43 +0200] "GET /api/screens HTTP/1.1" 200 311 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 23:17:43,347 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:23:17:43 +0200] "GET /api/stories HTTP/1.1" 200 311 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
