2026-04-06 20:53:21,153 | INFO     | explorer.server | 🌐 API server running at http://127.0.0.1:5100
2026-04-06 20:53:21,158 | INFO     | explorer.mcp | 🔌 Connecting to Mobile MCP server...
2026-04-06 20:53:22,903 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:53:22 +0200] "GET /api/graph HTTP/1.1" 200 283 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:53:22,978 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:53:22 +0200] "GET /api/stories HTTP/1.1" 200 179 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:53:22,981 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:53:22 +0200] "GET /api/status HTTP/1.1" 200 314 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:53:22,984 | INFO     | explorer.server | 📡 WebSocket client connected (1 total)
2026-04-06 20:53:22,987 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:53:22 +0200] "GET /api/screens HTTP/1.1" 200 179 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:53:22,990 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:53:22 +0200] "GET /api/graph HTTP/1.1" 200 283 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:53:22,993 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:53:22 +0200] "GET /api/screens HTTP/1.1" 200 179 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:53:24,205 | INFO     | explorer.server | 📡 WebSocket client connected (2 total)
2026-04-06 20:53:24,287 | INFO     | explorer.server | 📡 WebSocket client disconnected (1 remaining)
2026-04-06 20:53:24,289 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:53:22 +0200] "GET /ws/live HTTP/1.1" 101 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:53:29,084 | INFO     | explorer.mcp | ✅ Connected! Available tools: mobile_stop_screen_recording, mobile_launch_app, mobile_get_orientation, mobile_take_screenshot, mobile_install_app, mobile_list_elements_on_screen, mobile_open_url, mobile_type_keys, mobile_uninstall_app, mobile_terminate_app, mobile_list_apps, mobile_set_orientation, mobile_press_button, mobile_long_press_on_screen_at_coordinates, mobile_get_screen_size, mobile_start_screen_recording, mobile_double_tap_on_screen, mobile_swipe_on_screen, mobile_save_screenshot, mobile_click_on_screen_at_coordinates, mobile_list_available_devices
2026-04-06 20:53:29,512 | INFO     | explorer.mcp | 📱 Using device: emulator-5554
2026-04-06 20:53:30,807 | INFO     | aiohttp.access | 127.0.0.1 [06/Apr/2026:20:53:30 +0200] "GET /api/graph HTTP/1.1" 200 283 "http://127.0.0.1:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-04-06 20:53:35,550 | INFO     | httpx | HTTP Request: POST https://openrouter.ai/api/v1/chat/completions "HTTP/1.1 200 OK"
